policy,scenario,trial,cold_starts,predictive_cold_starts,reactive_cold_starts,warm_hits,wasted_prewarms,spawn_failures,gap_observations,pool_size,predicted_gap_s,predictor,predictive
serverless_predictive_ewma,cyclical,4,15,3,12,63,0,0,4,3,9.749169567108154,ewma,True
serverless_predictive_ewma,cyclical,5,15,2,13,62,0,0,4,3,9.35534295463562,ewma,True
serverless_predictive_ewma,cyclical,6,15,0,15,60,0,0,4,3,9.460963144302369,ewma,True
serverless_predictive_ewma,cyclical,7,15,2,13,62,0,0,4,3,9.363502786636353,ewma,True
serverless_predictive_ewma,cyclical,8,15,3,12,63,0,0,4,3,9.669007434844971,ewma,True
serverless_predictive_ewma,cyclical,9,15,3,12,63,0,0,4,3,9.446044788360595,ewma,True
serverless_predictive_ewma,cyclical,10,15,2,13,62,0,0,4,3,9.748348266601562,ewma,True
serverless_predictive_ewma,cyclical,11,15,3,12,63,0,0,4,3,9.960017015457153,ewma,True
serverless_predictive_ewma,cyclical,12,15,1,14,61,0,0,4,3,9.57508554649353,ewma,True
serverless_predictive_ewma,cyclical,13,15,3,12,63,0,0,4,3,9.557058683395386,ewma,True
serverless_predictive_ewma,cyclical,14,15,3,12,63,0,0,4,3,9.604252374649048,ewma,True
serverless_predictive_lastgap,cyclical,0,15,3,12,63,0,0,4,3,10.312803030014038,lastgap,True
serverless_predictive_lastgap,cyclical,1,15,2,13,62,0,0,4,3,8.66767930984497,lastgap,True
serverless_predictive_lastgap,cyclical,2,15,3,12,63,0,0,4,3,9.959736108779907,lastgap,True
serverless_predictive_lastgap,cyclical,3,15,3,12,63,0,0,4,3,8.939313411712646,lastgap,True
serverless_predictive_lastgap,cyclical,4,15,2,13,62,0,0,4,3,9.757002353668213,lastgap,True
serverless_predictive_lastgap,cyclical,5,15,2,13,62,0,0,4,3,8.805951118469238,lastgap,True
serverless_predictive_lastgap,cyclical,6,15,2,13,62,0,0,4,3,8.67792797088623,lastgap,True
serverless_predictive_lastgap,cyclical,7,15,2,13,62,0,0,4,3,8.569419860839844,lastgap,True
serverless_predictive_lastgap,cyclical,8,15,3,12,63,0,0,4,3,9.591669082641602,lastgap,True
serverless_predictive_lastgap,cyclical,9,15,3,12,63,0,0,4,3,9.85563611984253,lastgap,True
serverless_predictive_lastgap,cyclical,10,15,2,13,62,0,0,4,3,9.704216480255127,lastgap,True
serverless_predictive_lastgap,cyclical,11,15,3,12,63,0,0,4,3,10.134384870529175,lastgap,True
serverless_predictive_lastgap,cyclical,12,15,1,14,61,0,0,4,3,8.857117414474487,lastgap,True
serverless_predictive_lastgap,cyclical,13,15,3,12,63,0,0,4,3,9.946369409561157,lastgap,True
serverless_predictive_lastgap,cyclical,14,15,2,13,62,0,0,4,3,10.07330870628357,lastgap,True
serverless_predictive_movavg,cyclical,0,15,3,12,63,0,0,4,3,9.461908876895905,movavg,True
serverless_predictive_movavg,cyclical,1,15,2,13,62,0,0,4,3,9.246298491954803,movavg,True
serverless_predictive_movavg,cyclical,2,15,3,12,63,0,0,4,3,9.61573451757431,movavg,True
serverless_predictive_movavg,cyclical,3,15,3,12,63,0,0,4,3,9.490114688873291,movavg,True
serverless_predictive_movavg,cyclical,4,15,3,12,63,0,0,4,3,9.867464661598206,movavg,True
serverless_predictive_movavg,cyclical,5,15,3,12,63,0,0,4,3,9.373775780200958,movavg,True
serverless_predictive_movavg,cyclical,6,15,3,12,63,0,0,4,3,9.589783549308777,movavg,True
serverless_predictive_movavg,cyclical,7,15,2,13,62,0,0,4,3,9.639237821102142,movavg,True
serverless_predictive_movavg,cyclical,8,15,3,12,63,0,0,4,3,9.680578887462616,movavg,True
serverless_predictive_movavg,cyclical,9,15,3,12,63,0,0,4,3,9.392431437969208,movavg,True
serverless_predictive_movavg,cyclical,10,15,2,13,62,0,0,4,3,9.738637328147888,movavg,True
serverless_predictive_movavg,cyclical,11,15,3,12,63,0,0,4,3,9.929774105548859,movavg,True
serverless_predictive_movavg,cyclical,12,15,1,14,61,0,0,4,3,9.687713205814362,movavg,True
serverless_predictive_movavg,cyclical,13,15,3,12,63,0,0,4,3,9.480288922786713,movavg,True
serverless_predictive_movavg,cyclical,14,15,2,13,62,0,0,4,3,9.602715790271759,movavg,True
serverless_predictive_fixed,cyclical,0,15,4,11,64,0,0,4,3,9.0,fixed,True
serverless_predictive_fixed,cyclical,1,15,4,11,64,0,0,4,3,9.0,fixed,True
serverless_predictive_fixed,cyclical,2,15,4,11,64,0,0,4,3,9.0,fixed,True
serverless_predictive_fixed,cyclical,3,15,4,11,64,0,0,4,3,9.0,fixed,True
serverless_predictive_fixed,cyclical,4,15,4,11,64,0,0,4,3,9.0,fixed,True
serverless_predictive_fixed,cyclical,5,15,4,11,64,0,0,4,3,9.0,fixed,True
serverless_predictive_fixed,cyclical,6,15,4,11,64,0,0,4,3,9.0,fixed,True
serverless_predictive_fixed,cyclical,7,15,4,11,64,0,0,4,3,9.0,fixed,True
serverless_predictive_fixed,cyclical,8,15,4,11,64,0,0,4,3,9.0,fixed,True
serverless_predictive_fixed,cyclical,9,15,4,11,64,0,0,4,3,9.0,fixed,True
serverless_predictive_fixed,cyclical,10,15,4,11,64,0,0,4,3,9.0,fixed,True
serverless_predictive_fixed,cyclical,11,15,4,11,64,0,0,4,3,9.0,fixed,True
serverless_predictive_fixed,cyclical,12,15,4,11,64,0,0,4,3,9.0,fixed,True
serverless_predictive_fixed,cyclical,13,15,4,11,64,0,0,4,3,9.0,fixed,True
serverless_predictive_fixed,cyclical,14,15,4,11,64,0,0,4,3,9.0,fixed,True
